form_num,name,form
1,Bulbasaur,
2,Ivysaur,
3,Venusaur,
3-f,Venusaur,
4,Charmander,
5,Charmeleon,
6,Charizard,
7,Squirtle,
8,Wartortle,
9,Blastoise,
10,Caterpie,
11,Metapod,
12,Butterfree,
12-f,Butterfree,
13,Weedle,
14,Kakuna,
15,Beedrill,
16,Pidgey,
17,Pidgeotto,
18,Pidgeot,
19,Rattata,Original
19-f,Rattata,Original
19-1,Rattata,Alolan
20,Raticate,Original
20-1,Raticate,Alolan
20-f,Raticate,Original
21,Spearow,
22,Fearow,
23,Ekans,
24,Arbok,
25,Pikachu,
25-1,Pikachu,Original Cap
25-2,Pikachu,Hoenn Cap
25-3,Pikachu,Sinnoh Cap
25-4,Pikachu,Unova Cap
25-5,Pikachu,Kalos Cap
25-6,Pikachu,Alola Cap
25-7,Pikachu,Partner Cap
25-9,Pikachu,World Cap
25-f,Pikachu,
26,Raichu,Original
26-1,Raichu,Alolan
26-f,Raichu,Original
27-1,Sandshrew,Alolan
27,Sandshrew,Original
28-1,Sandslash,Alolan
28,Sandslash,Original
29,Nidoran♀,
30,Nidorina,
31,Nidoqueen,
32,Nidoran♂,
33,Nidorino,
34,Nidoking,
35,Clefairy,
36,Clefable,
37-1,Vulpix,Alolan
37,Vulpix,Original
38-1,Ninetales,Alolan
38,Ninetales,Original
39,Jigglypuff,
40,Wigglytuff,
41,Zubat,
41-f,Zubat,
42,Golbat,
42-f,Golbat,
43,Oddish,
44,Gloom,
44-f,Gloom,
45,Vileplume,
45-f,Vileplume,
46,Paras,
47,Parasect,
48,Venonat,
49,Venomoth,
50,Diglett,Original
50-1,Diglett,Alolan
51,Dugtrio,Original
51-1,Dugtrio,Alolan
52,Meowth,Original
52-1,Meowth,Alolan
52-2,Meowth,Galarian
53,Persian,Original
53-1,Persian,Alolan
54,Psyduck,
55,Golduck,
56,Mankey,
57,Primeape,
58,Growlithe,Original
58-1,Growlithe,Hisuian
59,Arcanine,Original
59-1,Arcanine,Hisuian
60,Poliwag,
61,Poliwhirl,
62,Poliwrath,
63,Abra,
64,Kadabra,
64-f,Kadabra,
65,Alakazam,
65-f,Alakazam,
66,Machop,
67,Machoke,
68,Machamp,
69,Bellsprout,
70,Weepinbell,
71,Victreebel,
72,Tentacool,
73,Tentacruel,
74-1,Geodude,Alolan
74,Geodude,Original
75-1,Graveler,Alolan
75,Graveler,Original
76-1,Golem,Alolan
76,Golem,Original
77,Ponyta,Original
77-1,Ponyta,Galarian
78,Rapidash,Original
78-1,Rapidash,Galarian
79-1,Slowpoke,Galarian
79,Slowpoke,Original
80-1,Slowbro,Galarian
80,Slowbro,Original
81,Magnemite,
82,Magneton,
83,Farfetch'd,Original
83-1,Farfetch'd,Galarian
84,Doduo,
84-f,Doduo,
85,Dodrio,
85-f,Dodrio,
86,Seel,
87,Dewgong,
88-1,Grimer,Alolan
88,Grimer,Original
89-1,Muk,Alolan
89,Muk,Original
90,Shellder,
91,Cloyster,
92,Gastly,
93,Haunter,
94,Gengar,
95,Onix,
96,Drowzee,
97,Hypno,
97-f,Hypno,
98,Krabby,
99,Kingler,
100,Voltorb,Original
100-1,Voltorb,Hisuian
101,Electrode,Original
101-1,Electrode,Hisuian
102,Exeggcute,
103,Exeggutor,Original
103-1,Exeggutor,Alolan
104,Cubone,
105,Marowak,Original
105-1,Marowak,Alolan
106,Hitmonlee,
107,Hitmonchan,
108,Lickitung,
109,Koffing,
110,Weezing,Original
110-1,Weezing,Galarian
111,Rhyhorn,
111-f,Rhyhorn,
112,Rhydon,
112-f,Rhydon,
113,Chansey,
114,Tangela,
115,Kangaskhan,
116,Horsea,
117,Seadra,
118,Goldeen,
118-f,Goldeen,
119,Seaking,
119-f,Seaking,
120,Staryu,
121,Starmie,
122,Mr. Mime,Original
122-1,Mr. Mime,Galarian
123,Scyther,
123-f,Scyther,
124,Jynx,
125,Electabuzz,
126,Magmar,
127,Pinsir,
128,Tauros,
128-1,Tauros,Paldean Combat Breed
128-2,Tauros,Paldean Blaze Breed
128-3,Tauros,Paldean Aqua Breed
129,Magikarp,
129-f,Magikarp,
130,Gyarados,
130-f,Gyarados,
131,Lapras,
132,Ditto,
133,Eevee,
133-f,Eevee,
134,Vaporeon,
135,Jolteon,
136,Flareon,
137,Porygon,
138,Omanyte,
139,Omastar,
140,Kabuto,
141,Kabutops,
142,Aerodactyl,
143,Snorlax,
144,Articuno,Original
144-1,Articuno,Galarian
145,Zapdos,Original
145-1,Zapdos,Galarian
146,Moltres,Original
146-1,Moltres,Galarian
147,Dratini,
148,Dragonair,
149,Dragonite,
150,Mewtwo,
151,Mew,
152,Chikorita,
153,Bayleef,
154,Meganium,
154-f,Meganium,
155,Cyndaquil,
156,Quilava,
157,Typhlosion,Original
157-1,Typhlosion,Hisuian
158,Totodile,
159,Croconaw,
160,Feraligatr,
161,Sentret,
162,Furret,
163,Hoothoot,
164,Noctowl,
165,Ledyba,
165-f,Ledyba,
166,Ledian,
166-f,Ledian,
167,Spinarak,
168,Ariados,
169,Crobat,
170,Chinchou,
171,Lanturn,
172,Pichu,
173,Cleffa,
174,Igglybuff,
175,Togepi,
176,Togetic,
177,Natu,
178,Xatu,
178-f,Xatu,
179,Mareep,
180,Flaaffy,
181,Ampharos,
182,Bellossom,
183,Marill,
184,Azumarill,
185,Sudowoodo,
185-f,Sudowoodo,
186,Politoed,
186-f,Politoed,
187,Hoppip,
188,Skiploom,
189,Jumpluff,
190,Aipom,
190-f,Aipom,
191,Sunkern,
192,Sunflora,
193,Yanma,
194,Wooper,Original
194-1,Wooper,Paldean
194-f,Wooper,Original
195,Quagsire,
195-f,Quagsire,
196,Espeon,
197,Umbreon,
198,Murkrow,
198-f,Murkrow,
199-1,Slowking,Galarian
199,Slowking,Original
200,Misdreavus,
201,Unown,a
201-1,Unown,b
201-10,Unown,k
201-11,Unown,l
201-12,Unown,m
201-13,Unown,n
201-14,Unown,o
201-15,Unown,p
201-16,Unown,q
201-17,Unown,r
201-18,Unown,s
201-19,Unown,t
201-2,Unown,c
201-20,Unown,u
201-21,Unown,v
201-22,Unown,w
201-23,Unown,x
