Index,Name,Form,Pokemon,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Product (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
1,Squawkabilly,,931,♀,1390,137,14,14,13,91.1,25.0,25.0,Peck,Aerial Ace,,"2026-07-02 18:25",6/28/2026,1.65kg,0.55m,0,0,0,4000,25.52%,3051,93.64%,12000,10,Squawkabilly,,0,99.54%,20,98.10%,444000,220,Squawkabilly,,0,,,,,,,,,
2,Starmie,,121,,2407,130,14,12,15,91.1,36.0,36.0,Water Gun,Hydro Pump,,"2026-07-02 18:25",11/26/2022,61.34kg,0.99m,0,0,0,8000,,,,,,,,,57.07%,1759,96.10%,43000,56,Starmie,,0,,,,,,,,,
3,Hitmonlee,,106,♂,2452,112,12,14,5,68.9,40.0,40.0,,,,"2026-07-02 18:24",,,,0,0,0,10000,,,,,,,,,50.48%,2029,95.78%,31000,0,Hitmonlee,,0,,,,,,,,,
4,Mantyke,,458,♀,713,85,15,15,15,100.0,20.0,20.0,,,,"2026-07-02 18:24",,,,0,0,0,2500,19.05%,3316,93.33%,27500,75,Mantine,,0,100.00%,1,100%,475000,298,Mantine,,0,,,,,,,,,
5,Minun,,312,♀,1096,108,14,13,14,91.1,23.0,23.0,,,,"2026-07-02 18:24",12/13/2022,,,0,0,0,3500,40.10%,2454,94.24%,86000,76,Minun,,0,99.56%,19,98.18%,458000,232,Minun,,0,,,,,,,,,
6,Clefable,,36,♀,1583,145,15,14,11,88.9,23.0,23.0,,,,"2026-07-02 18:24",1/15/2023,,,0,0,0,0,,,,,,,,,41.88%,2381,94.90%,261000,232,Clefable,,0,,,,,,,,,
7,Mr. Mime,Galar,122,♂,862,78,12,12,14,84.4,15.0,15.0,,,,"2026-07-02 18:24",1/18/2023,,,0,0,0,1900,84.84%,622,96.88%,16400,66,Mr. Rime,,0,42.91%,2339,95.91%,130400,168,Mr. Rime,,0,,,,,,,,,
8,Primarina,,730,♂,3185,161,15,14,14,95.6,40.0,40.0,,,,"2026-07-02 18:24",1/29/2023,,,0,0,0,10000,,,,,,,,,,,,,,,,,,,,,,,,,
9,Alomomola,,594,♂,950,192,4,8,12,53.3,17.0,17.0,,,,"2026-07-02 18:24",2/14/2023,,,0,0,0,2200,66.32%,1380,95.36%,56800,50,Alomomola,,0,45.69%,2225,87.76%,488800,260,Alomomola,,0,,,,,,,,,
10,Aggron,Normal,306,♂,3047,150,12,2,12,57.8,45.0,45.0,,,,"2026-07-02 18:24",2/17/2023,,,0,0,0,13000,,,,,,,,,,,,,,,,,,,,,,,,,
11,Carracosta,,565,♂,1487,115,15,12,15,93.3,20.0,20.0,,,,"2026-07-02 18:24",2/18/2023,,,0,0,0,2500,44.37%,2279,94.71%,0,0,Carracosta,,0,33.31%,2732,95.32%,169000,170,Carracosta,,0,,,,,,,,,
12,Haxorus,,612,♀,3574,155,15,14,14,95.6,40.0,40.0,,,,"2026-07-02 18:24",,,,0,0,0,10000,,,,,,,,,,,,,,,,,,,,,,,,,
13,Unfezant,,521,♂,2271,150,10,9,15,75.6,30.5,30.5,,,,"2026-07-02 18:24",,,,0,0,0,5000,,,,,,,,,66.28%,1382,96.84%,81000,90,Unfezant,,0,,,,,,,,,
14,Cherrim,,421,♀,675,86,8,15,15,84.4,12.0,12.0,,,,"2026-07-02 18:24",,,,0,0,0,1300,89.87%,416,97.25%,73400,70,Cherrim,,0,97.90%,87,96.22%,505400,280,Cherrim,,0,,,,,,,,,
15,Ledian,,166,♀,1014,108,15,12,10,82.2,27.0,27.0,,,,"2026-07-02 18:24",4/12/2023,,,0,0,0,4500,97.73%,94,97.13%,428000,206,Ledian,,0,97.73%,94,95.54%,428000,206,Ledian,,0,,,,,,,,,
16,Archeops,,567,♂,2099,124,11,13,15,86.7,22.5,22.5,,,,"2026-07-02 18:24",4/12/2023,,,0,0,0,3000,,,,,,,,,69.52%,1249,96.20%,29000,25,Archeops,,0,,,,,,,,,
17,Pinsir,Normal,127,♀,1261,92,15,13,15,95.6,15.0,15.0,,,,"2026-07-02 18:24",5/11/2023,,,0,0,0,1900,37.73%,2551,94.11%,9800,10,Pinsir,Normal,0,50.96%,2009,96.07%,91400,82,Pinsir,Normal,0,,,,,,,,,
18,Seviper,,336,♂,1537,129,14,13,13,88.9,26.0,26.0,,,,"2026-07-02 18:24",5/23/2023,,,0,0,0,4000,,,,,,,,,98.68%,55,96.81%,436000,214,Seviper,,0,,,,,,,,,
19,Obstagoon,,862,♀,1301,122,15,5,5,55.6,18.0,18.0,,,,"2026-07-02 18:24",6/6/2023,,,0,0,0,2200,8.64%,3742,92.47%,11900,10,Obstagoon,,0,6.50%,3830,93.64%,214400,226,Obstagoon,,0,,,,,,,,,
20,Purugly,,432,♂,792,96,13,4,13,66.7,15.0,15.0,,,,"2026-07-02 18:24",6/7/2023,,,0,0,0,1900,13.55%,3541,92.94%,77400,70,Purugly,,0,77.41%,926,91.00%,496400,268,Purugly,,0,,,,,,,,,
21,Beedrill,Normal,15,♂,1201,113,15,13,14,93.3,23.0,23.0,,,,"2026-07-02 18:24",6/7/2023,,,0,0,0,3500,42.03%,2375,94.78%,43500,38,Beedrill,Normal,0,99.49%,22,97.96%,458000,232,Beedrill,Normal,0,,,,,,,,,
22,Kingdra,,230,♀,668,77,14,14,14,93.3,9.0,9.0,,,,"2026-07-02 18:24",6/8/2023,,,0,0,0,1000,74.26%,1055,95.95%,37000,40,Kingdra,,0,45.81%,2220,95.65%,198000,200,Kingdra,,0,,,,,,,,,
23,Jumpluff,,189,,680,101,11,15,15,91.1,15.0,15.0,,,,"2026-07-02 18:23",6/12/2023,,,0,0,0,1900,60.37%,1624,95.33%,174400,170,Jumpluff,,0,98.66%,56,96.99%,496400,268,Jumpluff,,0,,,,,,,,,
24,Magby,,240,♂,734,83,12,15,12,86.7,20.0,20.0,,,,"2026-07-02 18:23",6/14/7072,,,0,0,0,2500,98.49%,63,95.74%,475000,248,Magby,,0,79.19%,853,96.08%,337000,273,Magmar,,0,,,,,,,,,
25,Jolteon,,135,♂,2764,135,13,15,10,84.4,38.5,38.5,,,,"2026-07-02 18:23",6/17/2023,,,0,0,0,9000,,,,,,,,,,,,,,,,,,,,,,,,,
26,Shinx,,403,♀,180,51,10,11,8,64.4,8.0,8.0,,,,"2026-07-02 18:23",6/18/2023,,,0,1,0,961,75.85%,990,95.92%,40326,185,Luxray,,1,63.74%,1486,96.41%,185526,329,Luxray,,1,61.88%,1562,93.26%,11402,46,Luxio,,1,
27,Baltoy,,343,,322,68,12,14,13,86.7,15.0,15.0,,,,"2026-07-02 18:23",6/18/2023,,,0,0,0,1900,32.70%,2757,93.71%,68400,112,Claydol,,0,98.12%,78,96.97%,496400,318,Claydol,,0,45.81%,2220,91.31%,38400,36,Baltoy,,0,
28,Lurantis,,754,♀,1815,128,15,10,13,84.4,27.0,27.0,,,,"2026-07-02 18:23",6/19/2023,,,0,0,0,4500,,,,,,,,,53.11%,1921,94.92%,278000,206,Lurantis,,0,,,,,,,,,
29,Sunflora,,192,♂,1585,133,9,14,12,77.8,27.0,27.0,,,,"2026-07-02 18:23",6/20/2023,,,0,0,0,4500,,,,,,,,,95.29%,194,95.18%,428000,206,Sunflora,,0,,,,,,,,,
30,Shaymin,Land,492,,1988,148,13,15,15,95.6,21.5,21.5,,,,"2026-07-02 18:23",7/3/2023,,,0,0,0,3000,,,,,,,,,80.71%,791,97.11%,39000,35,Shaymin,Land,0,,,,,,,,,
31,Drapion,,452,♂,2044,135,6,15,10,68.9,32.0,32.0,,,,"2026-07-02 18:23",7/5/2023,,,0,0,0,0,,,,,,,,,84.25%,646,96.96%,266000,162,Drapion,,0,,,,,,,,,
32,Breloom,,286,♂,2509,131,12,6,11,64.4,40.5,40.5,,,,"2026-07-02 18:23",7/5/2023,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gallade,Normal,475,♂,1960,115,14,13,13,88.9,22.5,22.5,,,,"2026-07-02 18:23",7/6/2023,,,0,0,0,3000,,,,,,,,,43.71%,2306,95.81%,46500,41,Gallade,Normal,0,,,,,,,,,
34,Vivillon,,666,♀,791,106,14,15,15,97.8,15.0,15.0,,,,"2026-07-02 18:23",7/10/2023,,,0,0,0,0,28.18%,2942,93.74%,77400,70,Vivillon,,0,99.98%,2,99.48%,496400,268,Vivillon,,0,,,,,,,,,
35,Jellicent,,593,♂,505,88,11,11,11,73.3,8.0,8.0,,,,"2026-07-02 18:23",7/18/2023,,,0,0,0,800,27.33%,2977,93.83%,55600,58,Jellicent,,0,88.16%,486,97.14%,469600,290,Jellicent,,0,,,,,,,,,
36,Vespiquen,,416,♀,1419,123,11,11,10,71.1,26.0,26.0,,,,"2026-07-02 18:23",,,,0,0,0,4000,22.93%,3157,93.32%,8000,8,Vespiquen,,0,86.30%,562,92.61%,436000,214,Vespiquen,,0,,,,,,,,,
37,Slowking,Galar,199,♀,2099,162,11,10,14,77.8,28.0,28.0,,,,"2026-07-02 18:23",7/26/2023,,,0,0,0,4500,,,,,,,,,59.76%,1649,96.45%,105000,110,Slowking,Galar,0,,,,,,,,,
38,Zygarde,10%,718,,986,81,10,14,13,82.2,15.0,15.0,,,,"2026-07-02 18:23",,,,0,0,0,1900,62.49%,1537,95.43%,35400,33,Zygarde,10%,0,92.58%,305,97.12%,397400,268,Zygarde,10%,0,,,,,,,,,
39,Shuckle,,213,♂,206,57,12,14,12,84.4,20.0,20.0,,,,"2026-07-02 18:23",,,,0,0,0,2500,89.72%,422,87.18%,475000,248,Shuckle,,0,89.72%,422,87.18%,475000,248,Shuckle,,0,89.72%,422,87.18%,475000,248,Shuckle,,0,
40,Rampardos,,409,♂,3026,174,15,9,7,68.9,37.0,37.0,,,,"2026-07-02 18:23",9/7/7072,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
41,Vivillon,,666,♂,760,104,12,10,12,75.6,15.0,15.0,,,,"2026-07-02 18:23",,,,0,0,0,1900,51.04%,2006,94.89%,91400,82,Vivillon,,0,89.18%,444,92.61%,496400,268,Vivillon,,0,,,,,,,,,
42,Gardevoir,Normal,282,♂,1295,93,12,15,11,84.4,15.0,15.0,,,,"2026-07-02 18:23",8/7/2023,,,0,0,0,1900,42.42%,2359,94.46%,7600,8,Gardevoir,Normal,0,29.08%,2905,95.21%,81900,74,Gardevoir,Normal,0,,,,,,,,,
43,Skarmory,Normal,227,♂,882,90,13,15,11,86.7,15.0,15.0,,,,"2026-07-02 18:23",,,,0,0,0,1900,67.55%,1330,95.95%,56400,51,Skarmory,Normal,0,98.12%,78,96.78%,496400,268,Skarmory,Normal,0,,,,,,,,,
44,Alakazam,Normal,65,♂,1281,82,11,13,14,84.4,15.0,15.0,,,,"2026-07-02 18:23",8/15/2023,,,0,0,0,1900,93.50%,267,97.50%,9800,10,Alakazam,Normal,0,71.53%,1167,96.69%,86400,78,Alakazam,Normal,0,,,,,,,,,
45,Cosmog,,789,,176,72,13,12,15,88.9,15.0,15.0,,,,"2026-07-02 18:23",8/15/2023,,,0,0,0,1900,98.46%,64,95.97%,496400,293,Cosmoem,,0,15.24%,3472,94.00%,29400,152,Solgaleo,,0,98.12%,78,93.06%,496400,268,Cosmog,,0,
46,Pikachu,Normal,25,♀,383,65,12,10,15,82.2,15.0,15.0,,,,"2026-07-02 18:23",,,,0,0,0,1900,52.89%,1930,94.54%,48900,95,Raichu,Normal,0,95.95%,167,95.59%,496400,318,Raichu,Normal,0,71.21%,1180,93.51%,18900,18,Pikachu,Normal,0,
47,Slurpuff,,685,♂,1591,138,8,13,7,62.2,27.0,27.0,,,,"2026-07-02 18:23",8/17/2023,,,0,0,0,4500,,,,,,,,,78.14%,896,91.82%,428000,206,Slurpuff,,0,,,,,,,,,
48,Vivillon,,666,♂,791,106,15,14,15,97.8,15.0,15.0,,,,"2026-07-02 18:23",,,,0,0,0,1900,22.83%,3161,93.44%,77400,70,Vivillon,,0,99.93%,4,99.15%,496400,268,Vivillon,,0,,,,,,,,,
49,Vivillon,,666,♀,777,106,14,11,15,88.9,15.0,15.0,,,,"2026-07-02 18:23",9/4/2023,,,0,0,0,1900,23.13%,3149,93.46%,81900,74,Vivillon,,0,98.05%,81,96.10%,496400,268,Vivillon,,0,,,,,,,,,
50,Vivillon,,666,♂,777,105,14,12,13,86.7,15.0,15.0,,,,"2026-07-02 18:22",9/22/2023,,,0,0,0,0,15.46%,3463,92.99%,81900,74,Vivillon,,0,97.66%,97,95.82%,496400,268,Vivillon,,0,,,,,,,,,
51,Vikavolt,,738,♀,2923,151,8,5,7,44.4,41.0,41.0,,,,"2026-07-02 18:22",9/23/2023,,,0,0,0,11000,,,,,,,,,,,,,,,,,,,,,,,,,
