Name,CP
2486kg O ff om,7
2583kg 0 Jf 099m,72
2583kg 0 JZ 099m,72
2583kg 0 ZZ 099m,2
2583kg 0 ZZ 099m,72
2583kg 0 ZZ 099m,2
2583kg 0 ZZ 099m,2
2583kg 0 ZZ 099m,22
2583kg 0 ZZ 099m,2
2583kg 0 JZ 099m,2
2583kg 0 JZ 099m,2
2583kg 0 JZ 099m,2
2583kg 0 JZ 099m,2
2583kg 0 JZ 099m,2
2583kg 0 JZ 099m,72
2583kg 0 JZ 099m,72
2583kg 0 JZ 099m,712
2583kg 0 JZ 099m,12
2583kg 0 JZ 099m,2
2583kg 0 JZ 099m,2
2583kg 0 JZ 099m,2
2583kg 0 JZ 099m,2
2583kg 0 f 099m,72
2583kg 0 Z 099m,72
2583kg 0 Jf 099m,72
2583kg 0 099m,2
355kg 0  034m,7
"Gee
 lan",5
"bal
 lan",1
"bell
 lan",1
"bene
 lan",1
"Gee
 lan",1
"bell
 lan",1
"br ene
 lan",1
"bene
 lan",1
"bell
 lan",1
"bene
 lan",1
"bell
 lan",1
"bell
 lan",41
"bell
 lan",4
"bell
 lan",1
"bell
 lan",41
"bl
 lan",1
"bl
 lan",1
"bl
 lan",1
"Ga
 an",1
"Ga
 lan",1
"Gee
 lan",1
"Gee
 an",1
"bl
 an",1
"bene
 an",1
a an,21
ihe,77
ieee,2
"Ge
 lan",22
"Gee
 lan",102
"Gee
 lan",6
"Gee
 lan",2
"Gee
 lan",2
"Gee
 lan",45
"Gee
 lan",42
"Gee
 lan",7
"Gee
 lan",412
"Gee
 a",7
"Gee
 lan",2
"Gee
 a",4102
"Gee
 lan",7
"Gee
 lan",492
"Gee
 lan",7
"bene
 lan",192
"bn
 a",71
"bene
 a",1
"Gee
 a",1
"bell
 a",71
"bret
 a",1
"beth
 a",1
"bene
 a",71
"bene
 a",1
"bene
 a",1
"bene
 a",1
"bene
 lan",1
"bene
 lan",71
"Gee
 lan",1
"Gee
 lan",71
"Gee
 lan",1
"Gee
 an",1
"Gee
 lan",71
"Gee
 lan",1
"Gee
 lan",71
"Gee
 an",71
"Gee
 an",1
